"id","penguin","island","sex","measurement","size"
14,"Pygoscelis adeliae","Torgersen","male","year",2007
15,"Pygoscelis adeliae","Torgersen","male","bill_length_mm",34.6
15,"Pygoscelis adeliae","Torgersen","male","bill_depth_mm",21.1
15,"Pygoscelis adeliae","Torgersen","male","flipper_length_mm",198
15,"Pygoscelis adeliae","Torgersen","male","body_mass_g",4400
15,"Pygoscelis adeliae","Torgersen","male","year",2007
16,"Pygoscelis adeliae","Torgersen","female","bill_length_mm",36.6
16,"Pygoscelis adeliae","Torgersen","female","bill_depth_mm",17.8
16,"Pygoscelis adeliae","Torgersen","female","flipper_length_mm",185
16,"Pygoscelis adeliae","Torgersen","female","body_mass_g",3700
16,"Pygoscelis adeliae","Torgersen","female","year",2007
17,"Pygoscelis adeliae","Torgersen","female","bill_length_mm",38.7
17,"Pygoscelis adeliae","Torgersen","female","bill_depth_mm",19
17,"Pygoscelis adeliae","Torgersen","female","flipper_length_mm",195
17,"Pygoscelis adeliae","Torgersen","female","body_mass_g",3450
17,"Pygoscelis adeliae","Torgersen","female","year",2007
18,"Pygoscelis adeliae","Torgersen","male","bill_length_mm",42.5
18,"Pygoscelis adeliae","Torgersen","male","bill_depth_mm",20.7
18,"Pygoscelis adeliae","Torgersen","male","flipper_length_mm",197
18,"Pygoscelis adeliae","Torgersen","male","body_mass_g",4500
18,"Pygoscelis adeliae","Torgersen","male","year",2007
19,"Pygoscelis adeliae","Torgersen","female","bill_length_mm",34.4
19,"Pygoscelis adeliae","Torgersen","female","bill_depth_mm",18.4
19,"Pygoscelis adeliae","Torgersen","female","flipper_length_mm",184
19,"Pygoscelis adeliae","Torgersen","female","body_mass_g",3325
19,"Pygoscelis adeliae","Torgersen","female","year",2007
20,"Pygoscelis adeliae","Torgersen","male","bill_length_mm",46
20,"Pygoscelis adeliae","Torgersen","male","bill_depth_mm",21.5
20,"Pygoscelis adeliae","Torgersen","male","flipper_length_mm",194
20,"Pygoscelis adeliae","Torgersen","male","body_mass_g",4200
20,"Pygoscelis adeliae","Torgersen","male","year",2007
21,"Pygoscelis adeliae","Biscoe","female","bill_length_mm",37.8
21,"Pygoscelis adeliae","Biscoe","female","bill_depth_mm",18.3
21,"Pygoscelis adeliae","Biscoe","female","flipper_length_mm",174
21,"Pygoscelis adeliae","Biscoe","female","body_mass_g",3400
21,"Pygoscelis adeliae","Biscoe","female","year",2007
22,"Pygoscelis adeliae","Biscoe","male","bill_length_mm",37.7
22,"Pygoscelis adeliae","Biscoe","male","bill_depth_mm",18.7
22,"Pygoscelis adeliae","Biscoe","male","flipper_length_mm",180
22,"Pygoscelis adeliae","Biscoe","male","body_mass_g",3600
22,"Pygoscelis adeliae","Biscoe","male","year",2007
23,"Pygoscelis adeliae","Biscoe","female","bill_length_mm",35.9
23,"Pygoscelis adeliae","Biscoe","female","bill_depth_mm",19.2
23,"Pygoscelis adeliae","Biscoe","female","flipper_length_mm",189
23,"Pygoscelis adeliae","Biscoe","female","body_mass_g",3800
23,"Pygoscelis adeliae","Biscoe","female","year",2007
24,"Pygoscelis adeliae","Biscoe","male","bill_length_mm",38.2
24,"Pygoscelis adeliae","Biscoe","male","bill_depth_mm",18.1
24,"Pygoscelis adeliae","Biscoe","male","flipper_length_mm",185
24,"Pygoscelis adeliae","Biscoe","male","body_mass_g",3950
24,"Pygoscelis adeliae","Biscoe","male","year",2007
25,"Pygoscelis adeliae","Biscoe","male","bill_length_mm",38.8
25,"Pygoscelis adeliae","Biscoe","male","bill_depth_mm",17.2
25,"Pygoscelis adeliae","Biscoe","male","flipper_length_mm",180
25,"Pygoscelis adeliae","Biscoe","male","body_mass_g",3800
25,"Pygoscelis adeliae","Biscoe","male","year",2007
26,"Pygoscelis adeliae","Biscoe","female","bill_length_mm",35.3
26,"Pygoscelis adeliae","Biscoe","female","bill_depth_mm",18.9
26,"Pygoscelis adeliae","Biscoe","female","flipper_length_mm",187
26,"Pygoscelis adeliae","Biscoe","female","body_mass_g",3800
26,"Pygoscelis adeliae","Biscoe","female","year",2007
27,"Pygoscelis adeliae","Biscoe","male","bill_length_mm",40.6
27,"Pygoscelis adeliae","Biscoe","male","bill_depth_mm",18.6
27,"Pygoscelis adeliae","Biscoe","male","flipper_length_mm",183
27,"Pygoscelis adeliae","Biscoe","male","body_mass_g",3550
27,"Pygoscelis adeliae","Biscoe","male","year",2007
28,"Pygoscelis adeliae","Biscoe","female","bill_length_mm",40.5
28,"Pygoscelis adeliae","Biscoe","female","bill_depth_mm",17.9
28,"Pygoscelis adeliae","Biscoe","female","flipper_length_mm",187
28,"Pygoscelis adeliae","Biscoe","female","body_mass_g",3200
28,"Pygoscelis adeliae","Biscoe","female","year",2007
29,"Pygoscelis adeliae","Biscoe","female","bill_length_mm",37.9
29,"Pygoscelis adeliae","Biscoe","female","bill_depth_mm",18.6
29,"Pygoscelis adeliae","Biscoe","female","flipper_length_mm",172
29,"Pygoscelis adeliae","Biscoe","female","body_mass_g",3150
29,"Pygoscelis adeliae","Biscoe","female","year",2007
30,"Pygoscelis adeliae","Biscoe","male","bill_length_mm",40.5
30,"Pygoscelis adeliae","Biscoe","male","bill_depth_mm",18.9
30,"Pygoscelis adeliae","Biscoe","male","flipper_length_mm",180
30,"Pygoscelis adeliae","Biscoe","male","body_mass_g",3950
30,"Pygoscelis adeliae","Biscoe","male","year",2007
31,"Pygoscelis adeliae","Dream","female","bill_length_mm",39.5
31,"Pygoscelis adeliae","Dream","female","bill_depth_mm",16.7
31,"Pygoscelis adeliae","Dream","female","flipper_length_mm",178
31,"Pygoscelis adeliae","Dream","female","body_mass_g",3250
31,"Pygoscelis adeliae","Dream","female","year",2007
32,"Pygoscelis adeliae","Dream","male","bill_length_mm",37.2
32,"Pygoscelis adeliae","Dream","male","bill_depth_mm",18.1
32,"Pygoscelis adeliae","Dream","male","flipper_length_mm",178
32,"Pygoscelis adeliae","Dream","male","body_mass_g",3900
32,"Pygoscelis adeliae","Dream","male","year",2007
33,"Pygoscelis adeliae","Dream","female","bill_length_mm",39.5
33,"Pygoscelis adeliae","Dream","female","bill_depth_mm",17.8
33,"Pygoscelis adeliae","Dream","female","flipper_length_mm",188
33,"Pygoscelis adeliae","Dream","female","body_mass_g",3300
33,"Pygoscelis adeliae","Dream","female","year",2007
34,"Pygoscelis adeliae","Dream","male","bill_length_mm",40.9
34,"Pygoscelis adeliae","Dream","male","bill_depth_mm",18.9
34,"Pygoscelis adeliae","Dream","male","flipper_length_mm",184
34,"Pygoscelis adeliae","Dream","male","body_mass_g",3900
34,"Pygoscelis adeliae","Dream","male","year",2007
35,"Pygoscelis adeliae","Dream","female","bill_length_mm",36.4
35,"Pygoscelis adeliae","Dream","female","bill_depth_mm",17
35,"Pygoscelis adeliae","Dream","female","flipper_length_mm",195
35,"Pygoscelis adeliae","Dream","female","body_mass_g",3325
35,"Pygoscelis adeliae","Dream","female","year",2007
36,"Pygoscelis adeliae","Dream","male","bill_length_mm",39.2
36,"Pygoscelis adeliae","Dream","male","bill_depth_mm",21.1
36,"Pygoscelis adeliae","Dream","male","flipper_length_mm",196
36,"Pygoscelis adeliae","Dream","male","body_mass_g",4150
36,"Pygoscelis adeliae","Dream","male","year",2007
37,"Pygoscelis adeliae","Dream","male","bill_length_mm",38.8
37,"Pygoscelis adeliae","Dream","male","bill_depth_mm",20
37,"Pygoscelis adeliae","Dream","male","flipper_length_mm",190
37,"Pygoscelis adeliae","Dream","male","body_mass_g",3950
37,"Pygoscelis adeliae","Dream","male","year",2007
38,"Pygoscelis adeliae","Dream","female","bill_length_mm",42.2
38,"Pygoscelis adeliae","Dream","female","bill_depth_mm",18.5
38,"Pygoscelis adeliae","Dream","female","flipper_length_mm",180
38,"Pygoscelis adeliae","Dream","female","body_mass_g",3550
38,"Pygoscelis adeliae","Dream","female","year",2007
39,"Pygoscelis adeliae","Dream","female","bill_length_mm",37.6
39,"Pygoscelis adeliae","Dream","female","bill_depth_mm",19.3
39,"Pygoscelis adeliae","Dream","female","flipper_length_mm",181
39,"Pygoscelis adeliae","Dream","female","body_mass_g",3300
39,"Pygoscelis adeliae","Dream","female","year",2007
40,"Pygoscelis adeliae","Dream","male","bill_length_mm",39.8
40,"Pygoscelis adeliae","Dream","male","bill_depth_mm",19.1
40,"Pygoscelis adeliae","Dream","male","flipper_length_mm",184
40,"Pygoscelis adeliae","Dream","male","body_mass_g",4650
40,"Pygoscelis adeliae","Dream","male","year",2007
41,"Pygoscelis adeliae","Dream","female","bill_length_mm",36.5
41,"Pygoscelis adeliae","Dream","female","bill_depth_mm",18
41,"Pygoscelis adeliae","Dream","female","flipper_length_mm",182
41,"Pygoscelis adeliae","Dream","female","body_mass_g",3150
41,"Pygoscelis adeliae","Dream","female","year",2007
42,"Pygoscelis adeliae","Dream","male","bill_length_mm",40.8
42,"Pygoscelis adeliae","Dream","male","bill_depth_mm",18.4
42,"Pygoscelis adeliae","Dream","male","flipper_length_mm",195
42,"Pygoscelis adeliae","Dream","male","body_mass_g",3900
42,"Pygoscelis adeliae","Dream","male","year",2007
43,"Pygoscelis adeliae","Dream","female","bill_length_mm",36
43,"Pygoscelis adeliae","Dream","female","bill_depth_mm",18.5
43,"Pygoscelis adeliae","Dream","female","flipper_length_mm",186
43,"Pygoscelis adeliae","Dream","female","body_mass_g",3100
43,"Pygoscelis adeliae","Dream","female","year",2007
44,"Pygoscelis adeliae","Dream","male","bill_length_mm",44.1
44,"Pygoscelis adeliae","Dream","male","bill_depth_mm",19.7
44,"Pygoscelis adeliae","Dream","male","flipper_length_mm",196
44,"Pygoscelis adeliae","Dream","male","body_mass_g",4400
44,"Pygoscelis adeliae","Dream","male","year",2007
45,"Pygoscelis adeliae","Dream","female","bill_length_mm",37
45,"Pygoscelis adeliae","Dream","female","bill_depth_mm",16.9
45,"Pygoscelis adeliae","Dream","female","flipper_length_mm",185
45,"Pygoscelis adeliae","Dream","female","body_mass_g",3000
45,"Pygoscelis adeliae","Dream","female","year",2007
46,"Pygoscelis adeliae","Dream","male","bill_length_mm",39.6
46,"Pygoscelis adeliae","Dream","male","bill_depth_mm",18.8
46,"Pygoscelis adeliae","Dream","male","flipper_length_mm",190
46,"Pygoscelis adeliae","Dream","male","body_mass_g",4600
46,"Pygoscelis adeliae","Dream","male","year",2007
47,"Pygoscelis adeliae","Dream","male","bill_length_mm",41.1
47,"Pygoscelis adeliae","Dream","male","bill_depth_mm",19
47,"Pygoscelis adeliae","Dream","male","flipper_length_mm",182
47,"Pygoscelis adeliae","Dream","male","body_mass_g",3425
47,"Pygoscelis adeliae","Dream","male","year",2007
48,"Pygoscelis adeliae","Dream",NA,"bill_length_mm",37.5
48,"Pygoscelis adeliae","Dream",NA,"bill_depth_mm",18.9
48,"Pygoscelis adeliae","Dream",NA,"flipper_length_mm",179
48,"Pygoscelis adeliae","Dream",NA,"body_mass_g",2975
48,"Pygoscelis adeliae","Dream",NA,"year",2007
49,"Pygoscelis adeliae","Dream","female","bill_length_mm",36
49,"Pygoscelis adeliae","Dream","female","bill_depth_mm",17.9
49,"Pygoscelis adeliae","Dream","female","flipper_length_mm",190
49,"Pygoscelis adeliae","Dream","female","body_mass_g",3450
49,"Pygoscelis adeliae","Dream","female","year",2007
50,"Pygoscelis adeliae","Dream","male","bill_length_mm",42.3
50,"Pygoscelis adeliae","Dream","male","bill_depth_mm",21.2
50,"Pygoscelis adeliae","Dream","male","flipper_length_mm",191
50,"Pygoscelis adeliae","Dream","male","body_mass_g",4150
50,"Pygoscelis adeliae","Dream","male","year",2007
51,"Pygoscelis adeliae","Biscoe","female","bill_length_mm",39.6
51,"Pygoscelis adeliae","Biscoe","female","bill_depth_mm",17.7
51,"Pygoscelis adeliae","Biscoe","female","flipper_length_mm",186
51,"Pygoscelis adeliae","Biscoe","female","body_mass_g",3500
51,"Pygoscelis adeliae","Biscoe","female","year",2008
52,"Pygoscelis adeliae","Biscoe","male","bill_length_mm",40.1
52,"Pygoscelis adeliae","Biscoe","male","bill_depth_mm",18.9
52,"Pygoscelis adeliae","Biscoe","male","flipper_length_mm",188
52,"Pygoscelis adeliae","Biscoe","male","body_mass_g",4300
52,"Pygoscelis adeliae","Biscoe","male","year",2008
53,"Pygoscelis adeliae","Biscoe","female","bill_length_mm",35
53,"Pygoscelis adeliae","Biscoe","female","bill_depth_mm",17.9
53,"Pygoscelis adeliae","Biscoe","female","flipper_length_mm",190
53,"Pygoscelis adeliae","Biscoe","female","body_mass_g",3450
53,"Pygoscelis adeliae","Biscoe","female","year",2008
54,"Pygoscelis adeliae","Biscoe","male","bill_length_mm",42
54,"Pygoscelis adeliae","Biscoe","male","bill_depth_mm",19.5
54,"Pygoscelis adeliae","Biscoe","male","flipper_length_mm",200
54,"Pygoscelis adeliae","Biscoe","male","body_mass_g",4050
54,"Pygoscelis adeliae","Biscoe","male","year",2008
55,"Pygoscelis adeliae","Biscoe","female","bill_length_mm",34.5
55,"Pygoscelis adeliae","Biscoe","female","bill_depth_mm",18.1
55,"Pygoscelis adeliae","Biscoe","female","flipper_length_mm",187
55,"Pygoscelis adeliae","Biscoe","female","body_mass_g",2900
55,"Pygoscelis adeliae","Biscoe","female","year",2008
56,"Pygoscelis adeliae","Biscoe","male","bill_length_mm",41.4
56,"Pygoscelis adeliae","Biscoe","male","bill_depth_mm",18.6
56,"Pygoscelis adeliae","Biscoe","male","flipper_length_mm",191
56,"Pygoscelis adeliae","Biscoe","male","body_mass_g",3700
56,"Pygoscelis adeliae","Biscoe","male","year",2008
57,"Pygoscelis adeliae","Biscoe","female","bill_length_mm",39
57,"Pygoscelis adeliae","Biscoe","female","bill_depth_mm",17.5
57,"Pygoscelis adeliae","Biscoe","female","flipper_length_mm",186
57,"Pygoscelis adeliae","Biscoe","female","body_mass_g",3550
57,"Pygoscelis adeliae","Biscoe","female","year",2008
58,"Pygoscelis adeliae","Biscoe","male","bill_length_mm",40.6
58,"Pygoscelis adeliae","Biscoe","male","bill_depth_mm",18.8
58,"Pygoscelis adeliae","Biscoe","male","flipper_length_mm",193
58,"Pygoscelis adeliae","Biscoe","male","body_mass_g",3800
58,"Pygoscelis adeliae","Biscoe","male","year",2008
59,"Pygoscelis adeliae","Biscoe","female","bill_length_mm",36.5
59,"Pygoscelis adeliae","Biscoe","female","bill_depth_mm",16.6
59,"Pygoscelis adeliae","Biscoe","female","flipper_length_mm",181
59,"Pygoscelis adeliae","Biscoe","female","body_mass_g",2850
59,"Pygoscelis adeliae","Biscoe","female","year",2008
60,"Pygoscelis adeliae","Biscoe","male","bill_length_mm",37.6
60,"Pygoscelis adeliae","Biscoe","male","bill_depth_mm",19.1
60,"Pygoscelis adeliae","Biscoe","male","flipper_length_mm",194
60,"Pygoscelis adeliae","Biscoe","male","body_mass_g",3750
60,"Pygoscelis adeliae","Biscoe","male","year",2008
61,"Pygoscelis adeliae","Biscoe","female","bill_length_mm",35.7
61,"Pygoscelis adeliae","Biscoe","female","bill_depth_mm",16.9
61,"Pygoscelis adeliae","Biscoe","female","flipper_length_mm",185
61,"Pygoscelis adeliae","Biscoe","female","body_mass_g",3150
61,"Pygoscelis adeliae","Biscoe","female","year",2008
62,"Pygoscelis adeliae","Biscoe","male","bill_length_mm",41.3
62,"Pygoscelis adeliae","Biscoe","male","bill_depth_mm",21.1
62,"Pygoscelis adeliae","Biscoe","male","flipper_length_mm",195
62,"Pygoscelis adeliae","Biscoe","male","body_mass_g",4400
62,"Pygoscelis adeliae","Biscoe","male","year",2008
63,"Pygoscelis adeliae","Biscoe","female","bill_length_mm",37.6
63,"Pygoscelis adeliae","Biscoe","female","bill_depth_mm",17
63,"Pygoscelis adeliae","Biscoe","female","flipper_length_mm",185
63,"Pygoscelis adeliae","Biscoe","female","body_mass_g",3600
63,"Pygoscelis adeliae","Biscoe","female","year",2008
64,"Pygoscelis adeliae","Biscoe","male","bill_length_mm",41.1
64,"Pygoscelis adeliae","Biscoe","male","bill_depth_mm",18.2
64,"Pygoscelis adeliae","Biscoe","male","flipper_length_mm",192
64,"Pygoscelis adeliae","Biscoe","male","body_mass_g",4050
64,"Pygoscelis adeliae","Biscoe","male","year",2008
65,"Pygoscelis adeliae","Biscoe","female","bill_length_mm",36.4
65,"Pygoscelis adeliae","Biscoe","female","bill_depth_mm",17.1
65,"Pygoscelis adeliae","Biscoe","female","flipper_length_mm",184
65,"Pygoscelis adeliae","Biscoe","female","body_mass_g",2850
65,"Pygoscelis adeliae","Biscoe","female","year",2008
66,"Pygoscelis adeliae","Biscoe","male","bill_length_mm",41.6
66,"Pygoscelis adeliae","Biscoe","male","bill_depth_mm",18
66,"Pygoscelis adeliae","Biscoe","male","flipper_length_mm",192
66,"Pygoscelis adeliae","Biscoe","male","body_mass_g",3950
66,"Pygoscelis adeliae","Biscoe","male","year",2008
67,"Pygoscelis adeliae","Biscoe","female","bill_length_mm",35.5
67,"Pygoscelis adeliae","Biscoe","female","bill_depth_mm",16.2
67,"Pygoscelis adeliae","Biscoe","female","flipper_length_mm",195
67,"Pygoscelis adeliae","Biscoe","female","body_mass_g",3350
67,"Pygoscelis adeliae","Biscoe","female","year",2008
68,"Pygoscelis adeliae","Biscoe","male","bill_length_mm",41.1
68,"Pygoscelis adeliae","Biscoe","male","bill_depth_mm",19.1
68,"Pygoscelis adeliae","Biscoe","male","flipper_length_mm",188
68,"Pygoscelis adeliae","Biscoe","male","body_mass_g",4100
68,"Pygoscelis adeliae","Biscoe","male","year",2008
69,"Pygoscelis adeliae","Torgersen","female","bill_length_mm",35.9
69,"Pygoscelis adeliae","Torgersen","female","bill_depth_mm",16.6
69,"Pygoscelis adeliae","Torgersen","female","flipper_length_mm",190
69,"Pygoscelis adeliae","Torgersen","female","body_mass_g",3050
69,"Pygoscelis adeliae","Torgersen","female","year",2008
70,"Pygoscelis adeliae","Torgersen","male","bill_length_mm",41.8
70,"Pygoscelis adeliae","Torgersen","male","bill_depth_mm",19.4
70,"Pygoscelis adeliae","Torgersen","male","flipper_length_mm",198
70,"Pygoscelis adeliae","Torgersen","male","body_mass_g",4450
70,"Pygoscelis adeliae","Torgersen","male","year",2008
71,"Pygoscelis adeliae","Torgersen","female","bill_length_mm",33.5
71,"Pygoscelis adeliae","Torgersen","female","bill_depth_mm",19
71,"Pygoscelis adeliae","Torgersen","female","flipper_length_mm",190
71,"Pygoscelis adeliae","Torgersen","female","body_mass_g",3600
71,"Pygoscelis adeliae","Torgersen","female","year",2008
72,"Pygoscelis adeliae","Torgersen","male","bill_length_mm",39.7
72,"Pygoscelis adeliae","Torgersen","male","bill_depth_mm",18.4
72,"Pygoscelis adeliae","Torgersen","male","flipper_length_mm",190
72,"Pygoscelis adeliae","Torgersen","male","body_mass_g",3900
72,"Pygoscelis adeliae","Torgersen","male","year",2008
73,"Pygoscelis adeliae","Torgersen","female","bill_length_mm",39.6
73,"Pygoscelis adeliae","Torgersen","female","bill_depth_mm",17.2
73,"Pygoscelis adeliae","Torgersen","female","flipper_length_mm",196
73,"Pygoscelis adeliae","Torgersen","female","body_mass_g",3550
73,"Pygoscelis adeliae","Torgersen","female","year",2008
74,"Pygoscelis adeliae","Torgersen","male","bill_length_mm",45.8
74,"Pygoscelis adeliae","Torgersen","male","bill_depth_mm",18.9
74,"Pygoscelis adeliae","Torgersen","male","flipper_length_mm",197
74,"Pygoscelis adeliae","Torgersen","male","body_mass_g",4150
74,"Pygoscelis adeliae","Torgersen","male","year",2008
75,"Pygoscelis adeliae","Torgersen","female","bill_length_mm",35.5
75,"Pygoscelis adeliae","Torgersen","female","bill_depth_mm",17.5
75,"Pygoscelis adeliae","Torgersen","female","flipper_length_mm",190
75,"Pygoscelis adeliae","Torgersen","female","body_mass_g",3700
75,"Pygoscelis adeliae","Torgersen","female","year",2008
76,"Pygoscelis adeliae","Torgersen","male","bill_length_mm",42.8
76,"Pygoscelis adeliae","Torgersen","male","bill_depth_mm",18.5
76,"Pygoscelis adeliae","Torgersen","male","flipper_length_mm",195
76,"Pygoscelis adeliae","Torgersen","male","body_mass_g",4250
76,"Pygoscelis adeliae","Torgersen","male","year",2008
77,"Pygoscelis adeliae","Torgersen","female","bill_length_mm",40.9
77,"Pygoscelis adeliae","Torgersen","female","bill_depth_mm",16.8
77,"Pygoscelis adeliae","Torgersen","female","flipper_length_mm",191
77,"Pygoscelis adeliae","Torgersen","female","body_mass_g",3700
77,"Pygoscelis adeliae","Torgersen","female","year",2008
78,"Pygoscelis adeliae","Torgersen","male","bill_length_mm",37.2
78,"Pygoscelis adeliae","Torgersen","male","bill_depth_mm",19.4
78,"Pygoscelis adeliae","Torgersen","male","flipper_length_mm",184
78,"Pygoscelis adeliae","Torgersen","male","body_mass_g",3900
78,"Pygoscelis adeliae","Torgersen","male","year",2008
79,"Pygoscelis adeliae","Torgersen","female","bill_length_mm",36.2
79,"Pygoscelis adeliae","Torgersen","female","bill_depth_mm",16.1
79,"Pygoscelis adeliae","Torgersen","female","flipper_length_mm",187
79,"Pygoscelis adeliae","Torgersen","female","body_mass_g",3550
79,"Pygoscelis adeliae","Torgersen","female","year",2008
80,"Pygoscelis adeliae","Torgersen","male","bill_length_mm",42.1
80,"Pygoscelis adeliae","Torgersen","male","bill_depth_mm",19.1
80,"Pygoscelis adeliae","Torgersen","male","flipper_length_mm",195
80,"Pygoscelis adeliae","Torgersen","male","body_mass_g",4000
80,"Pygoscelis adeliae","Torgersen","male","year",2008
81,"Pygoscelis adeliae","Torgersen","female","bill_length_mm",34.6
81,"Pygoscelis adeliae","Torgersen","female","bill_depth_mm",17.2
81,"Pygoscelis adeliae","Torgersen","female","flipper_length_mm",189
81,"Pygoscelis adeliae","Torgersen","female","body_mass_g",3200
81,"Pygoscelis adeliae","Torgersen","female","year",2008
82,"Pygoscelis adeliae","Torgersen","male","bill_length_mm",42.9
82,"Pygoscelis adeliae","Torgersen","male","bill_depth_mm",17.6
82,"Pygoscelis adeliae","Torgersen","male","flipper_length_mm",196
82,"Pygoscelis adeliae","Torgersen","male","body_mass_g",4700
82,"Pygoscelis adeliae","Torgersen","male","year",2008
83,"Pygoscelis adeliae","Torgersen","female","bill_length_mm",36.7
83,"Pygoscelis adeliae","Torgersen","female","bill_depth_mm",18.8
83,"Pygoscelis adeliae","Torgersen","female","flipper_length_mm",187
83,"Pygoscelis adeliae","Torgersen","female","body_mass_g",3800
83,"Pygoscelis adeliae","Torgersen","female","year",2008
84,"Pygoscelis adeliae","Torgersen","male","bill_length_mm",35.1
84,"Pygoscelis adeliae","Torgersen","male","bill_depth_mm",19.4
84,"Pygoscelis adeliae","Torgersen","male","flipper_length_mm",193
84,"Pygoscelis adeliae","Torgersen","male","body_mass_g",4200
84,"Pygoscelis adeliae","Torgersen","male","year",2008
85,"Pygoscelis adeliae","Dream","female","bill_length_mm",37.3
85,"Pygoscelis adeliae","Dream","female","bill_depth_mm",17.8
85,"Pygoscelis adeliae","Dream","female","flipper_length_mm",191
85,"Pygoscelis adeliae","Dream","female","body_mass_g",3350
85,"Pygoscelis adeliae","Dream","female","year",2008
